title	duration	vts	ttn	ix	ix_ref
Lost.S01.E01to04	2434.44	1.0	1.0	1	-
Lost.S01.E01to04	0.48	1.0	2.0	2	-
Lost.S01.E01to04	2435.88	1.0	3.0	3	-
Lost.S01.E01to04	2318.96	2.0	1.0	4	-
Lost.S01.E01to04	2319.44	2.0	2.0	5	-
Lost.S01.E01to04	138.92	3.0	1.0	6	-
Lost.S01.E01to04	23.52	3.0	2.0	7	-
Lost.S01.E01to04	120.6	3.0	3.0	8	-
Lost.S01.E01to04	68.16	3.0	4.0	9	-
Lost.S01.E01to04	2500.96	4.0	1.0	10	-
Lost.S01.E01to04	2457.68	5.0	1.0	11	-
Lost.S01.E01to04	0.48	6.0	1.0	12	-
Lost.S01.E01to04	0.48	7.0	1.0	13	-
Lost.S01.E01to04	4.92	8.0	1.0	14	-
Lost.S01.E01to04	3.0	9.0	1.0	15	-
Lost.S01.E01to04	13.52	10.0	1.0	16	-
Lost.S01.E01to04	0.48	11.0	1.0	17	-
Lost.S01.E01to04	0.48	11.0	2.0	18	-
Lost.S01.E01to04	0.48	11.0	3.0	19	-
Lost.S01.E01to04	0.48	12.0	1.0	20	-
Lost.S01.E01to04	243.2	13.0	1.0	21	-
Lost.S01.E05to08	2446.72	1.0	1.0	1	-
Lost.S01.E05to08	0.48	1.0	2.0	2	-
Lost.S01.E05to08	2460.88	2.0	1.0	3	-
Lost.S01.E05to08	2489.28	3.0	1.0	4	-
Lost.S01.E05to08	2485.24	4.0	1.0	5	-
Lost.S01.E05to08	0.48	5.0	1.0	6	-
Lost.S01.E05to08	0.48	6.0	1.0	7	-
Lost.S01.E05to08	3.96	7.0	1.0	8	-
Lost.S01.E05to08	3.0	8.0	1.0	9	-
Lost.S01.E05to08	13.52	9.0	1.0	10	-
Lost.S01.E05to08	0.48	10.0	1.0	11	-
Lost.S01.E05to08	0.48	10.0	2.0	12	-
Lost.S01.E05to08	0.48	10.0	3.0	13	-
Lost.S01.E05to08	0.48	11.0	1.0	14	-
Lost.S01.E05to08	0.48	12.0	1.0	15	-
Lost.S01.E05to08	0.48	12.0	2.0	16	-
Lost.S01.E05to08	0.48	12.0	3.0	17	-
Lost.S01.E05to08	0.48	12.0	4.0	18	-
Lost.S01.E05to08	0.48	12.0	5.0	19	-
Lost.S01.E05to08	0.48	12.0	6.0	20	-
Lost.S01.E05to08	0.48	12.0	7.0	21	-
Lost.S01.E05to08	0.48	12.0	8.0	22	-
Lost.S01.E05to08	0.48	12.0	9.0	23	-
Lost.S01.E05to08	0.48	12.0	10.0	24	-
Lost.S01.E05to08	0.48	12.0	11.0	25	-
Lost.S01.E05to08	118.72	13.0	1.0	26	-
Lost.S01.E05to08	0.48	13.0	2.0	27	-
Lost.S01.E05to08	0.48	13.0	3.0	28	-
Lost.S01.E05to08	0.48	13.0	4.0	29	-
Lost.S01.E05to08	0.48	13.0	5.0	30	-
Lost.S01.E05to08	0.48	13.0	6.0	31	-
Lost.S01.E05to08	0.48	13.0	7.0	32	-
Lost.S01.E09to12	2482.28	1.0	1.0	1	-
Lost.S01.E09to12	0.48	1.0	2.0	2	-
Lost.S01.E09to12	2460.24	2.0	1.0	3	-
Lost.S01.E09to12	2425.88	3.0	1.0	4	-
Lost.S01.E09to12	2487.28	4.0	1.0	5	-
Lost.S01.E09to12	0.48	5.0	1.0	6	-
Lost.S01.E09to12	0.48	6.0	1.0	7	-
Lost.S01.E09to12	3.96	7.0	1.0	8	-
Lost.S01.E09to12	3.0	8.0	1.0	9	-
Lost.S01.E09to12	13.48	9.0	1.0	10	-
Lost.S01.E09to12	0.48	10.0	1.0	11	-
Lost.S01.E09to12	0.48	10.0	2.0	12	-
Lost.S01.E09to12	0.48	10.0	3.0	13	-
Lost.S01.E09to12	0.48	11.0	1.0	14	-
Lost.S01.E09to12	0.48	12.0	1.0	15	-
Lost.S01.E09to12	0.48	12.0	2.0	16	-
Lost.S01.E09to12	0.48	12.0	3.0	17	-
Lost.S01.E09to12	0.48	12.0	4.0	18	-
Lost.S01.E09to12	0.48	12.0	5.0	19	-
Lost.S01.E09to12	0.48	12.0	6.0	20	-
Lost.S01.E09to12	0.48	12.0	7.0	21	-
Lost.S01.E09to12	0.48	12.0	8.0	22	-
Lost.S01.E09to12	0.48	12.0	9.0	23	-
Lost.S01.E09to12	0.48	12.0	10.0	24	-
Lost.S01.E09to12	0.48	12.0	11.0	25	-
Lost.S01.E09to12	0.48	13.0	1.0	26	-
Lost.S01.E09to12	0.48	13.0	2.0	27	-
Lost.S01.E09to12	0.48	13.0	3.0	28	-
Lost.S01.E09to12	0.48	13.0	4.0	29	-
Lost.S01.E09to12	0.48	13.0	5.0	30	-
Lost.S01.E09to12	0.48	13.0	6.0	31	-
Lost.S01.E09to12	0.48	13.0	7.0	32	-
Lost.S01.E13to16	2492.64	1.0	1.0	1	-
Lost.S01.E13to16	0.48	1.0	2.0	2	-
Lost.S01.E13to16	2491.08	2.0	1.0	3	-
Lost.S01.E13to16	2395.36	3.0	1.0	4	-
Lost.S01.E13to16	2491.48	4.0	1.0	5	-
Lost.S01.E13to16	0.48	5.0	1.0	6	-
Lost.S01.E13to16	0.48	6.0	1.0	7	-
Lost.S01.E13to16	3.96	7.0	1.0	8	-
Lost.S01.E13to16	3.0	8.0	1.0	9	-
Lost.S01.E13to16	13.52	9.0	1.0	10	-
Lost.S01.E13to16	0.48	10.0	1.0	11	-
Lost.S01.E13to16	0.48	10.0	2.0	12	-
Lost.S01.E13to16	0.48	10.0	3.0	13	-
Lost.S01.E13to16	0.48	11.0	1.0	14	-
Lost.S01.E13to16	0.48	12.0	1.0	15	-
Lost.S01.E13to16	0.48	12.0	2.0	16	-
Lost.S01.E13to16	0.48	12.0	3.0	17	-
Lost.S01.E13to16	0.48	12.0	4.0	18	-
Lost.S01.E13to16	0.48	12.0	5.0	19	-
Lost.S01.E13to16	0.48	12.0	6.0	20	-
Lost.S01.E13to16	0.48	12.0	7.0	21	-
Lost.S01.E13to16	0.48	12.0	8.0	22	-
Lost.S01.E13to16	0.48	12.0	9.0	23	-
Lost.S01.E13to16	0.48	12.0	10.0	24	-
Lost.S01.E13to16	0.48	12.0	11.0	25	-
Lost.S01.E13to16	0.48	13.0	1.0	26	-
Lost.S01.E13to16	0.48	13.0	2.0	27	-
Lost.S01.E13to16	0.48	13.0	3.0	28	-
Lost.S01.E13to16	0.48	13.0	4.0	29	-
Lost.S01.E13to16	0.48	13.0	5.0	30	-
